rank,name,tournament,year,variant,offsteam_listings,offsteam_censored,steam_volume_30d,lis_price,steam_price,steam_as_of,cagr_3y,history_years
1,Sticker | BIG (Holo) | Antwerp 2022,Antwerp 2022,2022,Holo,51,0,2730,3.16,9.166524305555555,2026-01-09,1.8333477627167376,3.69
2,Sticker | MLG (Foil) | MLG Columbus 2016,MLG Columbus 2016,2016,Foil,22,0,9,111.63499999999999,177.57,2026-03-11,1.1321156477982348,9.98
3,Sticker | ANGE1 (Foil) | London 2018,London 2018,2018,Foil,8,0,8,20.08,4.71,2026-02-03,1.0019855352707774,7.43
4,Sticker | MLG (Holo) | MLG Columbus 2016,MLG Columbus 2016,2016,Holo,18,0,27,70.59,59.068999999999996,2026-03-11,0.9352363072179071,9.98
5,Sticker | MLG | MLG Columbus 2016,MLG Columbus 2016,2016,Paper,7,0,117,30.99,19.637,2025-10-14,0.8804879913042154,9.57
6,Sticker | Natus Vincere (Holo) | MLG Columbus 2016,MLG Columbus 2016,2016,Holo,22,0,18,46.635,64.658,2026-02-05,0.7380043625032195,9.89
7,Sticker | Entropiq (Holo) | Stockholm 2021,Stockholm 2021,2021,Holo,129,0,385,9.68,13.384695238095237,2025-12-19,0.6969621339958298,4.16
8,Sticker | 9z Team | Antwerp 2022,Antwerp 2022,2022,Paper,140,0,4180,0.55,0.41517600644122377,2026-05-10,0.683595145531487,4.02
9,Sticker | AdreN (Foil)  | MLG Columbus 2016,MLG Columbus 2016,2016,Foil,9,0,5,38.36,18.777,2026-02-02,0.6800040942203069,9.88
10,Sticker | Attacker (Foil) | Katowice 2019,Katowice 2019,2019,Foil,4,0,10,12.22,5.83,2026-01-29,0.6619639962580193,6.98
11,Sticker | Copenhagen Flames (Holo) | Stockholm 2021,Stockholm 2021,2021,Holo,289,0,715,22.18,25.356787037037037,2026-01-19,0.642346790144521,4.25
