name,class,source_capsule,release_year,status,price_now,listings_now,volume_30d,price_1y,price_2y,price_3y,cagr,supply_trend,confidence,cagr_1y,cagr_2y,cagr_3y,months_supply,vol_trend_1y,baseline_cagr,excess_cagr,excess_horizon,lag_score,as_of,tournament,tour_year,age_years,variant,liquidity,supply_basis,status_detail
10 Year Birthday Sticker Capsule,capsule,,2022,unknown,1.0439,,4327,0.962,0.8454999999999999,1.094,-0.01550422082428271,,hist/vol/unknown,0.08513513513513526,0.11114987776513807,-0.01550422082428271,,0.32567401960784315,0.38881278964920807,-0.4043170104734908,3y,,2025-12-08,,,,,ok,single snapshot (t0 established),no source names this item
2021 Community Sticker Capsule,capsule,,2021,unknown,0.96675,,574,1.0755,1.0125,1.183,-0.06507563358209001,,hist/vol/unknown,-0.10111576011157597,-0.02285373929241541,-0.06507563358209001,,-0.6175882744836776,0.38881278964920807,-0.4538884232312981,3y,,2026-02-03,,,,,ok,single snapshot (t0 established),no source names this item
Ambush Sticker Capsule,capsule,,2024,unknown,1.021433660933661,,4471,1.0394999999999999,,,-0.017379835561653567,,hist/vol/unknown,-0.017379835561653567,,,,1.6146198830409357,0.39778300330979377,-0.41516283887144734,1y,,2025-11-01,,,,,ok,single snapshot (t0 established),no source names this item
Antwerp 2022 Challengers Autograph Capsule,capsule,,2022,unknown,0.3359868548720066,,20390,0.346,0.631,0.193,0.20297054166185546,,hist/vol/unknown,-0.028939725803449168,-0.27029644245825724,0.20297054166185546,,0.025499170145350192,0.38881278964920807,-0.1858422479873526,3y,,2025-10-07,Antwerp 2022,2022,3.75,,deep,single snapshot (t0 established),no source names this item
Antwerp 2022 Challengers Sticker Capsule,capsule,,2022,unknown,0.4163569154792922,,16147,0.2365,0.6114999999999999,0.471,-0.040271720942606004,,hist/vol/unknown,0.7604943572063096,-0.17484666260166448,-0.040271720942606004,,-0.5372026368586988,0.38881278964920807,-0.4290845105918141,3y,,2026-02-15,Antwerp 2022,2022,4.0833333333332575,,ok,single snapshot (t0 established),no source names this item
Antwerp 2022 Contenders Autograph Capsule,capsule,,2022,unknown,0.8265667845075709,,25483,0.645,0.592,0.564,0.13588129632415114,,hist/vol/unknown,0.28149889070941225,0.18162078372592072,0.13588129632415114,,-0.08433345310815665,0.38881278964920807,-0.25293149332505693,3y,,2026-05-08,Antwerp 2022,2022,4.3333333333332575,,deep,single snapshot (t0 established),no source names this item
Antwerp 2022 Contenders Sticker Capsule,capsule,,2022,unknown,0.7819285467216983,,21528,0.313,0.7285,0.459,0.19431291234563441,,hist/vol/unknown,1.4981742706763526,0.036021471624031465,0.19431291234563441,,-0.6138683120190842,0.38881278964920807,-0.19449987730357365,3y,,2026-02-15,Antwerp 2022,2022,4.0833333333332575,,deep,single snapshot (t0 established),no source names this item
Antwerp 2022 Legends Autograph Capsule,capsule,,2022,unknown,0.39189856853672644,,16528,0.278,0.3875,1.243,-0.31938604487755085,,hist/vol/unknown,0.4097070810673611,0.00565955701266363,-0.31938604487755085,,0.04780017750729049,0.38881278964920807,-0.7081988345267589,3y,,2026-04-16,Antwerp 2022,2022,4.25,,ok,single snapshot (t0 established),no source names this item
Antwerp 2022 Legends Sticker Capsule,capsule,,2022,unknown,0.7289316857971648,,69992,0.514,1.1955,0.283,0.3707769650192825,,hist/vol/unknown,0.4181550307337836,-0.21914818477661613,0.3707769650192825,,0.8840376850605653,0.38881278964920807,-0.01803582462992559,3y,,2025-11-14,Antwerp 2022,2022,3.8333333333332575,,deep,single snapshot (t0 established),no source names this item
Austin 2025 Challengers Autograph Capsule,capsule,,2025,unknown,0.3694365284974093,,10572,,,,,,hist/vol/unknown,,,,,,,,,,2026-03-22,Austin 2025,2025,1.1666666666667425,,ok,single snapshot (t0 established),no source names this item
